Network Diameter: 16
221	9	( 704 800 859 861 932 945 )
222	11	( 704 800 859 861 932 945 )
223	11	( 704 800 859 861 932 945 )
224	11	( 704 800 859 861 945 )
225	10	( 704 800 859 861 945 )
226	12	( 704 800 859 861 945 )
227	11	( 704 800 859 861 945 )
228	12	( 800 859 932 945 )
229	10	( 704 800 859 861 932 945 )
230	12	( 704 800 859 861 932 945 )
231	13	( 704 800 859 861 945 )
232	12	( 704 861 932 )
233	10	( 704 800 859 861 932 945 )
234	9	( 704 800 859 861 932 945 )
235	10	( 704 800 859 861 932 945 )
236	12	( 704 861 932 )
237	11	( 704 800 859 861 945 )
238	10	( 704 861 932 )
239	9	( 704 800 859 861 932 945 )
240	11	( 704 800 859 861 932 945 )
241	11	( 704 800 859 861 932 945 )
242	11	( 704 800 859 861 932 945 )
243	10	( 704 800 859 861 932 945 )
244	13	( 704 861 932 )
245	11	( 704 800 859 861 945 )
246	11	( 704 800 859 861 932 945 )
247	11	( 704 800 859 861 932 945 )
248	10	( 704 861 932 )
249	9	( 704 800 859 861 932 945 )
250	12	( 704 800 859 861 932 945 )
251	12	( 704 861 932 )
252	12	( 704 861 932 )
253	10	( 704 800 859 861 932 945 )
254	9	( 704 800 859 861 932 945 )
255	13	( 704 861 932 )
256	12	( 704 861 932 )
257	10	( 704 800 859 861 932 945 )
258	11	( 704 800 859 861 932 945 )
259	11	( 704 800 859 861 945 )
260	14	( 704 861 932 )
261	12	( 800 859 932 945 )
262	11	( 704 800 859 861 932 945 )
263	11	( 704 800 859 861 932 945 )
264	10	( 704 800 859 861 932 945 )
265	10	( 704 800 859 861 945 )
266	13	( 704 861 932 )
267	11	( 704 800 859 861 932 945 )
268	12	( 704 861 932 )
269	12	( 704 861 932 )
270	10	( 704 800 859 861 932 945 )
271	10	( 704 800 859 861 945 )
272	12	( 704 800 859 861 932 945 )
273	12	( 704 861 932 )
274	10	( 704 800 859 861 932 945 )
275	11	( 704 800 859 861 932 945 )
276	10	( 704 800 859 861 932 945 )
277	10	( 704 800 859 861 932 945 )
278	11	( 704 800 859 861 932 945 )
279	12	( 704 800 859 861 945 )
280	14	( 704 861 932 )
281	12	( 704 861 932 )
282	12	( 704 800 859 861 945 )
283	10	( 704 800 859 861 932 945 )
284	10	( 704 800 859 861 945 )
285	13	( 704 800 859 861 932 945 )
286	11	( 704 800 859 861 932 945 )
287	11	( 704 861 932 )
288	12	( 704 800 859 861 932 945 )
289	11	( 704 800 859 861 932 945 )
290	10	( 704 800 859 861 932 945 )
291	10	( 704 800 859 861 945 )
292	11	( 704 800 859 861 932 945 )
293	14	( 800 859 932 945 )
294	13	( 704 861 932 )
295	11	( 704 800 859 861 932 945 )
296	12	( 704 861 932 )
297	11	( 800 859 932 945 )
298	10	( 704 800 859 861 945 )
299	11	( 704 800 859 861 932 945 )
300	11	( 704 800 859 861 945 )
301	11	( 704 800 859 861 945 )
302	13	( 704 861 932 )
303	12	( 704 800 859 861 932 945 )
304	11	( 704 800 859 861 932 945 )
305	10	( 704 861 932 )
306	9	( 704 800 859 861 932 945 )
307	12	( 704 800 859 861 932 945 )
308	10	( 704 800 859 861 932 945 )
309	13	( 704 800 859 861 945 )
310	11	( 704 800 859 861 945 )
311	11	( 704 800 859 861 932 945 )
312	11	( 704 861 932 )
313	10	( 704 861 932 )
